number,value,datetime_start,datetime_complete,duration,params_max_sector_weight,params_min_sector_weight,params_momentum_lookback,params_rs_lookback,params_top_n_sectors,params_trend_ma_period,params_use_trend_filter,params_volatility_window,params_weight_smoothing_alpha,state
56,0.42252639192043967,2026-02-06 02:31:34.159977,2026-02-06 02:31:35.904362,0 days 00:00:01.744385,0.3,0.03,30,90,4,20,False,28,0.4,COMPLETE
57,0.39008598964637564,2026-02-06 02:31:35.905057,2026-02-06 02:31:36.965516,0 days 00:00:01.060459,0.35,0.03,25,100,4,20,False,34,0.30000000000000004,COMPLETE
58,0.3793211918036813,2026-02-06 02:31:36.966066,2026-02-06 02:31:41.399794,0 days 00:00:04.433728,0.25,0.02,30,80,4,30,False,46,0.4,COMPLETE
59,0.43299528846982377,2026-02-06 02:31:41.400364,2026-02-06 02:31:43.244082,0 days 00:00:01.843718,0.3,0.03,30,90,4,20,False,22,0.30000000000000004,COMPLETE
60,0.4580249059737469,2026-02-06 02:31:43.244681,2026-02-06 02:31:47.423711,0 days 00:00:04.179030,0.3,0.03,30,100,3,20,False,40,0.30000000000000004,COMPLETE
61,0.4580249059737469,2026-02-06 02:31:47.424269,2026-02-06 02:31:51.638624,0 days 00:00:04.214355,0.3,0.03,30,100,3,20,False,40,0.30000000000000004,COMPLETE
62,0.4580249059737469,2026-02-06 02:31:51.646307,2026-02-06 02:31:55.835188,0 days 00:00:04.188881,0.3,0.03,30,100,3,20,False,40,0.30000000000000004,COMPLETE
63,0.27249651170495026,2026-02-06 02:31:55.835746,2026-02-06 02:31:56.972809,0 days 00:00:01.137063,0.25,0.03,10,90,2,20,False,40,0.30000000000000004,COMPLETE
64,0.4633281310632857,2026-02-06 02:31:56.973390,2026-02-06 02:32:01.395153,0 days 00:00:04.421763,0.3,0.03,30,100,3,30,False,46,0.30000000000000004,COMPLETE
65,0.4708748336620258,2026-02-06 02:32:01.396111,2026-02-06 02:32:05.650176,0 days 00:00:04.254065,0.3,0.03,30,100,3,20,False,52,0.4,COMPLETE
66,0.4025541258021261,2026-02-06 02:32:05.650734,2026-02-06 02:32:09.918391,0 days 00:00:04.267657,0.3,0.04,30,90,3,30,False,52,0.4,COMPLETE
67,0.4227298865226043,2026-02-06 02:32:09.918946,2026-02-06 02:32:14.219064,0 days 00:00:04.300118,0.3,0.02,25,100,3,20,False,52,0.4,COMPLETE
68,0.3617034538060363,2026-02-06 02:32:14.219626,2026-02-06 02:32:15.402028,0 days 00:00:01.182402,0.3,0.04,25,50,2,30,False,46,0.4,COMPLETE
69,0.39347303229217606,2026-02-06 02:32:15.402630,2026-02-06 02:32:17.855890,0 days 00:00:02.453260,0.25,0.03,30,90,3,20,False,52,0.5,COMPLETE
70,0.26158331545005853,2026-02-06 02:32:17.856439,2026-02-06 02:32:22.184210,0 days 00:00:04.327771,0.3,0.03,30,40,3,20,False,46,0.4,COMPLETE
71,0.4580249059737469,2026-02-06 02:32:22.184777,2026-02-06 02:32:26.461540,0 days 00:00:04.276763,0.3,0.03,30,100,3,20,False,40,0.30000000000000004,COMPLETE
72,0.4633281310632857,2026-02-06 02:32:26.462104,2026-02-06 02:32:30.831036,0 days 00:00:04.368932,0.3,0.03,30,100,3,20,False,46,0.30000000000000004,COMPLETE
73,0.46353791642152953,2026-02-06 02:32:30.831601,2026-02-06 02:32:35.112373,0 days 00:00:04.280772,0.3,0.03,30,100,3,20,False,52,0.30000000000000004,COMPLETE
74,0.46353791642152953,2026-02-06 02:32:35.112929,2026-02-06 02:32:39.353989,0 days 00:00:04.241060,0.3,0.03,30,100,3,20,False,52,0.30000000000000004,COMPLETE
75,0.38840701908501596,2026-02-06 02:32:39.354563,2026-02-06 02:32:40.465548,0 days 00:00:01.110985,0.25,0.04,30,90,2,30,False,52,0.30000000000000004,COMPLETE
76,0.46353791642152953,2026-02-06 02:32:40.466115,2026-02-06 02:32:44.805626,0 days 00:00:04.339511,0.3,0.03,30,100,3,20,False,52,0.30000000000000004,COMPLETE
77,0.4025541258021261,2026-02-06 02:32:44.806203,2026-02-06 02:32:49.172341,0 days 00:00:04.366138,0.3,0.03,30,90,3,30,False,52,0.4,COMPLETE
78,0.45527039842070727,2026-02-06 02:32:49.172908,2026-02-06 02:32:53.596277,0 days 00:00:04.423369,0.3,0.02,30,100,3,20,False,52,0.2,COMPLETE
79,0.4399245178440499,2026-02-06 02:32:53.597046,2026-02-06 02:32:54.700669,0 days 00:00:01.103623,0.25,0.03,25,100,2,60,False,46,0.30000000000000004,COMPLETE
80,0.35586471671336684,2026-02-06 02:32:54.701247,2026-02-06 02:32:59.172259,0 days 00:00:04.471012,0.3,0.03,20,90,3,20,False,52,0.30000000000000004,COMPLETE
81,0.46353791642152953,2026-02-06 02:32:59.172850,2026-02-06 02:33:03.964783,0 days 00:00:04.791933,0.3,0.03,30,100,3,20,False,52,0.30000000000000004,COMPLETE
82,0.46353791642152953,2026-02-06 02:33:03.965779,2026-02-06 02:33:08.453352,0 days 00:00:04.487573,0.3,0.03,30,100,3,20,False,52,0.30000000000000004,COMPLETE
83,0.46353791642152953,2026-02-06 02:33:08.453914,2026-02-06 02:33:12.725877,0 days 00:00:04.271963,0.3,0.03,30,100,3,20,False,52,0.30000000000000004,COMPLETE
84,0.34703644795505145,2026-02-06 02:33:12.726453,2026-02-06 02:33:17.107275,0 days 00:00:04.380822,0.3,0.03,15,100,3,20,False,52,0.30000000000000004,COMPLETE
85,0.46353791642152953,2026-02-06 02:33:17.107847,2026-02-06 02:33:21.355119,0 days 00:00:04.247272,0.3,0.03,30,100,3,20,False,52,0.30000000000000004,COMPLETE
86,0.4149948178681237,2026-02-06 02:33:21.355697,2026-02-06 02:33:25.639241,0 days 00:00:04.283544,0.3,0.03,30,90,3,20,False,52,0.30000000000000004,COMPLETE
87,0.45527039842070727,2026-02-06 02:33:25.639804,2026-02-06 02:33:29.902275,0 days 00:00:04.262471,0.3,0.03,30,100,3,20,False,52,0.2,COMPLETE
88,0.46725534430198196,2026-02-06 02:33:29.902842,2026-02-06 02:33:32.405162,0 days 00:00:02.502320,0.25,0.02,30,100,3,20,False,52,0.30000000000000004,COMPLETE
89,0.27687236571050156,2026-02-06 02:33:32.407683,2026-02-06 02:33:34.986351,0 days 00:00:02.578668,0.25,0.02,30,60,3,20,False,52,0.5,COMPLETE
90,0.46725534430198196,2026-02-06 02:33:34.987280,2026-02-06 02:33:37.482537,0 days 00:00:02.495257,0.25,0.02,30,100,3,20,False,52,0.30000000000000004,COMPLETE
91,0.46725534430198196,2026-02-06 02:33:37.483093,2026-02-06 02:33:39.945604,0 days 00:00:02.462511,0.25,0.02,30,100,3,20,False,52,0.30000000000000004,COMPLETE
92,0.46725534430198196,2026-02-06 02:33:39.946183,2026-02-06 02:33:42.405604,0 days 00:00:02.459421,0.25,0.02,30,100,3,20,False,52,0.30000000000000004,COMPLETE
93,0.46725534430198196,2026-02-06 02:33:42.406168,2026-02-06 02:33:44.880405,0 days 00:00:02.474237,0.25,0.02,30,100,3,20,False,52,0.30000000000000004,COMPLETE
94,0.4179465773175504,2026-02-06 02:33:44.880981,2026-02-06 02:33:47.335202,0 days 00:00:02.454221,0.25,0.02,30,90,3,20,False,52,0.30000000000000004,COMPLETE
95,0.46725534430198196,2026-02-06 02:33:47.335757,2026-02-06 02:33:49.811792,0 days 00:00:02.476035,0.25,0.02,30,100,3,20,False,52,0.30000000000000004,COMPLETE
96,0.45556066509095106,2026-02-06 02:33:49.812574,2026-02-06 02:33:52.242629,0 days 00:00:02.430055,0.25,0.02,25,100,3,20,False,52,0.30000000000000004,COMPLETE
97,0.4659616967987274,2026-02-06 02:33:52.243195,2026-02-06 02:33:54.756035,0 days 00:00:02.512840,0.25,0.02,30,100,3,20,False,46,0.2,COMPLETE
98,0.4171868765310062,2026-02-06 02:33:54.756607,2026-02-06 02:33:57.275983,0 days 00:00:02.519376,0.25,0.02,30,90,3,20,False,46,0.1,COMPLETE
99,0.4649337349849185,2026-02-06 02:33:57.276562,2026-02-06 02:33:59.679538,0 days 00:00:02.402976,0.25,0.02,25,100,3,20,False,52,0.2,COMPLETE
