parameter,value,wf_sharpe,wf_sortino,wf_calmar,wf_total_return,holdout_sharpe,holdout_sortino,holdout_calmar,holdout_total_return,holdout_max_drawdown
rs_lookback,60.0,0.6460853697204104,0.8166359266384258,0.7632592889505196,1.1276675458871122,0.21875705002454585,0.2773803154481155,0.3546824677056906,0.14813752976759598,-0.20162202218817826
rs_lookback,80.0,0.5619205748482436,0.7125171380552748,0.5708398204796871,0.9884934375233418,0.11145406429711506,0.14088868373395697,0.274992083025379,0.11886355989299857,-0.21005503154429472
rs_lookback,100.0,0.5282358925859927,0.6728605149579259,0.5683455893869608,0.9449932278039501,0.06887760793181197,0.08611681137567975,0.244093693597304,0.10710963931163353,-0.21382271666874442
momentum_lookback,5.0,0.6536044857979931,0.8518506451855098,0.6114682641892601,1.1348953728384958,-0.18651965811666904,-0.22058145959071968,0.08973774761017798,0.04060591894684262,-0.22399643629806487
momentum_lookback,10.0,0.59331806134897,0.704359347364299,0.5216320582001538,1.0559429691531572,-0.2958961054310157,-0.34878791714237084,0.030376215024604573,0.014383222598936873,-0.2359061513894244
momentum_lookback,15.0,0.48605171552628607,0.594860660344351,0.4382634158213673,0.8947577806529541,-0.1750587267903279,-0.20544088380535203,0.09536885668206307,0.042622135280324214,-0.2211277530131044
momentum_lookback,20.0,0.6495349377185521,0.7977366898490417,0.665457868539618,1.177570516292902,-0.3523081503258259,-0.4082136912615393,-0.004597111701228736,-0.0021795659874144224,-0.2371875051269977
momentum_lookback,25.0,0.7813329197984812,0.9614332316313505,0.7215344420770825,1.4723113000765036,-0.02234730608409207,-0.026706968025112146,0.18658409123875408,0.08187338546405765,-0.21508493435032616
momentum_lookback,30.0,0.5190819651786122,0.6450507882198443,0.43101551473638783,0.9823259632769854,-0.14502488054910811,-0.17377714084314172,0.11412451232740468,0.04993005442979492,-0.2160880741664849
volatility_window,10.0,0.7813329197984812,0.9614332316313505,0.7215344420770813,1.4723113000765,-0.022347306084091793,-0.02670696802511182,0.18658409123875397,0.08187338546405765,-0.21508493435032627
volatility_window,22.0,0.7813329197984812,0.9614332316313505,0.7215344420770805,1.4723113000765,-0.022347306084091682,-0.02670696802511169,0.18658409123875305,0.08187338546405742,-0.21508493435032616
volatility_window,34.0,0.7813329197984813,0.9614332316313506,0.7215344420770823,1.4723113000764996,-0.022347306084091575,-0.026706968025111556,0.18658409123875305,0.08187338546405742,-0.21508493435032616
volatility_window,46.0,0.7813329197984813,0.9614332316313506,0.721534442077082,1.4723113000764991,-0.02234730608409185,-0.026706968025111882,0.18658409123875397,0.08187338546405765,-0.21508493435032627
volatility_window,52.0,0.7813329197984812,0.9614332316313505,0.7215344420770825,1.4723113000765036,-0.02234730608409207,-0.026706968025112146,0.18658409123875408,0.08187338546405765,-0.21508493435032616
weight_smoothing_alpha,0.1,0.7813329197984812,0.9614332316313505,0.7215344420770825,1.4723113000765036,-0.02234730608409207,-0.026706968025112146,0.18658409123875408,0.08187338546405765,-0.21508493435032616
