Date,Auto,Consumer,Oil & Gas (Energy),FMCG,IT,Media,Metal,Healthcare (Pharma),Realty,Finance,Benchmark
2015-08-11,8619.25,3665.25,8475.099609375,20663.099609375,11711.150390625,2499.25,2035.4000244140625,12636.900390625,181.5500030517578,18616.68359375,8462.349609375
2015-08-12,8407.150390625,3594.949951171875,8275.5498046875,20329.80078125,12006.7998046875,2432.10009765625,1947.550048828125,12771.75,171.39999389648438,18059.541015625,8349.4501953125
2015-08-13,8441.5498046875,3587.64990234375,8254.650390625,20271.25,11956.099609375,2420.10009765625,1893.5999755859375,12913.7001953125,169.0500030517578,18175.189453125,8355.849609375
2015-08-14,8642.099609375,3646.0,8409.650390625,20345.30078125,12048.4501953125,2500.550048828125,1920.5999755859375,13137.25,183.3000030517578,18723.3828125,8518.5498046875
2015-08-17,8615.4501953125,3632.050048828125,8299.2001953125,20321.19921875,12001.75,2474.85009765625,1942.949951171875,13089.5498046875,180.39999389648438,18821.83203125,8477.2998046875
2015-08-18,8662.5498046875,3632.35009765625,8253.0,20283.75,12159.400390625,2469.5,1909.0999755859375,12980.099609375,179.6999969482422,18780.630859375,8466.5498046875
2015-08-19,8703.2998046875,3641.5,8275.349609375,20325.75,12249.099609375,2475.699951171875,1882.0,13335.849609375,178.14999389648438,18703.033203125,8495.150390625
2015-08-20,8553.5498046875,3612.85009765625,8077.64990234375,20640.25,11985.25,2406.39990234375,1838.4000244140625,13463.75,170.9499969482422,18282.88671875,8372.75
2015-08-21,8381.7001953125,3583.800048828125,7998.60009765625,20704.55078125,12032.2998046875,2352.14990234375,1822.3499755859375,13470.0,166.5,18056.990234375,8299.9501953125
2015-08-24,7773.4501953125,3369.39990234375,7333.85009765625,19742.150390625,11455.150390625,2162.800048828125,1693.949951171875,12653.2998046875,148.0500030517578,16811.60546875,7809.0
2015-08-25,7920.35009765625,3390.550048828125,7463.89990234375,19869.05078125,11376.75,2206.800048828125,1754.949951171875,12772.400390625,158.1999969482422,17192.55078125,7880.7001953125
2015-08-26,7882.10009765625,3363.10009765625,7476.60009765625,19688.0,11284.099609375,2231.39990234375,1760.949951171875,12623.0498046875,157.89999389648438,16917.453125,7791.85009765625
2015-08-27,7952.35009765625,3409.39990234375,7634.60009765625,20097.650390625,11396.900390625,2279.64990234375,1809.699951171875,12995.75,164.4499969482422,17214.201171875,7948.9501953125
2015-08-28,8023.2998046875,3446.449951171875,7727.85009765625,20173.900390625,11588.25,2331.949951171875,1820.1500244140625,12940.75,163.64999389648438,17211.75,8001.9501953125
2015-08-31,7948.5498046875,3424.39990234375,7645.5,20111.5,11605.7001953125,2328.35009765625,1833.1500244140625,13213.2001953125,161.35000610351562,17146.3515625,7971.2998046875
2015-09-01,7745.39990234375,3362.550048828125,7511.64990234375,19762.099609375,11476.4501953125,2261.699951171875,1770.800048828125,13007.0498046875,156.0,16530.109375,7785.85009765625
2015-09-02,7638.7001953125,3331.64990234375,7441.5,19855.75,11604.7001953125,2244.39990234375,1745.5,12840.349609375,157.10000610351562,16252.51171875,7717.0
2015-09-03,7738.60009765625,3357.300048828125,7510.60009765625,19906.400390625,11672.849609375,2277.449951171875,1787.9000244140625,12817.400390625,164.5,16555.20703125,7823.0
2015-09-04,7559.4501953125,3312.35009765625,7360.89990234375,19671.849609375,11413.599609375,2242.699951171875,1748.5,12521.5498046875,158.5500030517578,16128.912109375,7655.0498046875
2015-09-07,7464.2998046875,3269.75,7299.14990234375,19356.19921875,11318.2998046875,2226.89990234375,1704.300048828125,12240.0,155.35000610351562,15789.916015625,7558.7998046875
2015-09-08,7589.0,3279.300048828125,7428.64990234375,19174.30078125,11390.099609375,2267.199951171875,1745.6500244140625,12329.5,160.10000610351562,16350.759765625,7688.25
2015-09-09,7814.85009765625,3342.10009765625,7586.2001953125,19306.30078125,11504.900390625,2330.75,1809.1500244140625,12360.0498046875,164.4499969482422,16631.306640625,7818.60009765625
